Trip_ID,Net_group,Net_treatment,Time_setting,Time_pulling,Soak_duration,Total_catch_number,Total_catch_wt_kg,Avg_herring_FK_cm,Avg_herring_wt_g,SH Sculpin,Atlantic Cod,Yellowtail Flounder,Atlantic Salmon,Rock Crab,Rock Cod,Sea Trout,Lumpfish,NOGA,HERG,GBBG,LBBG,RBGU,ICGU,BLKI,Cormorant_sp,DCCO,GRCO,NOGA,COMU,RAZO,BLGU,Auk_spp,ATPU,BAEA,Merganser_spp,LTDU,COEI,COTE,CORA,AMPI,CAN Goose,ARCTERN,Minke,Comments,
MH_1,1,12_night,5/16/2024 6:00 PM,5/17/2024 6:00:00,12:00:00,209,37,26,177,0,,,0,0,0,0,0,0,26,4,0,0,0,0,1,,,31,0,0,0,,0,0,0,0,,,,,0,0,,"Most birds flying overhead, no NOGA diving or in the water. ~10 HERG trying to get fish out of net during pulling; 1 successfully",
MH_1,2,12_night,5/16/2024 6:30 PM,5/17/2024 6:30:00,12:00:00,,,,,0,,,0,0,0,0,0,0,34,5,0,0,0,0,0,,,23,0,0,0,,0,0,0,0,,,,,0,0,,"Most HERG in the water, no NOGA flying or on water. >10 HERG on top of net trying to get fish out - several successful",
MH_2,1,24h,5/17/2024 6:30:00,5/18/2024 6:15:00,23:45:00,24,4.146,26.625,172.75,0,,,0,0,0,0,0,0,6,1,0,0,0,0,2,,,6,0,0,0,,1,0,0,0,,,,,0,0,,Lots of slob and full kelp stuck in net. No bird trying to get fish out of net but HERG following the boat,"NOGA, ATPU, CORMO flying, Gulls flying + in the water"
MH_2,2,24h,5/17/2024 7:00:00,5/18/2024 6:30:00,23:30:00,,,,,0,,,0,0,0,0,0,0,7,2,0,0,0,0,1,,,3,0,0,0,,1,0,0,0,,,,,0,0,,Lots of slob and full kelp stuck in net. No bird trying to get fish out of net but HERG following the boat,"NOGA, ATPU, CORMO flying, Gulls flying + in the water"
MH_3,1,12_day,5/18/2024 6:30:00,5/18/2024 18:15:00,11:45:00,0,0,,,0,,,0,0,0,0,0,0,2,0,0,0,0,0,1,,,8,0,0,0,,1,0,0,0,,,,,0,0,,No catch but HERG still flying above net and landing on it. Only kelp in net,"NOGA flying only. About 30 diving 2.5km SW from were nets are set: 49.453371, -53.983744 at the time of pulling"
MH_3,2,12_day,5/18/2024 6:45:00,5/18/2024 18:30:00,11:45:00,,,,,0,,,0,0,0,0,0,0,5,0,0,0,0,0,0,,,9,0,0,0,,0,0,0,0,,,,,0,0,,No catch but HERG still flying above net and landing on it. Only kelp in net,"NOGA flying only. About 30 diving 2.5km SW from were nets are set: 49.453371, -53.983744 at the time of pulling"
MH_4,1,12_night,5/18/2024 18:30:00,5/19/2024 6:00:00,11:30:00,368,73.5,27.55,193.75,0,,,0,0,0,0,0,0,12,0,0,0,0,0,1,,,0,0,0,0,,0,0,0,0,,,,,0,0,,"Lots of catch, cloudy skies but not foggy yet no birds around. HERG showed up while we were pulling, stayed on the water throughout pulling but not trying to get fish from net",About 40 NOGA diving 50m from shoreline in front of Bill's house - nowhere near nets
MH_4,2,12_night,5/18/2024 18:45:00,5/19/2024 6:45:00,12:00:00,,,,,0,,,0,0,0,0,0,0,9,1,0,0,0,0,1,,,5,0,0,0,,0,0,0,0,,,,,0,0,,"HERG followed us from net 1, GBBG showex up and got fish from net. NOGA flying above only",
MH_5,1,12_day,5/19/2024 6:45:00,5/19/2024 18:15:00,11:30:00,1,0.17,26,170,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,8,0,0,2,,0,0,0,0,,,,,0,0,,"Very rough waters, could only check net 1. Some birds flying above, none in the water",
MH_5,2,,5/19/2024 7:15:00,,,,,,,,,,,,,,,,1,0,0,0,0,0,2,,,5,0,0,0,,0,0,0,0,,,,,0,0,,"Very rough waters, could not check net 2. Went by, couple of herrings seem to be in the net, some birds flying above, none in the water",
MH_6,1,12_night,5/19/2024 18:30:00,5/20/2024 6:15:00,11:45:00,314,57.43,26.925,183.25,0,,,0,0,0,0,0,0,4,1,0,0,0,0,1,,,>500,0,0,0,,0,0,0,0,,,,,0,0,,"lots of catch, 100s of NOGA flying above net to go to Ladle Cove - all diving, herring-spawning site: 49.479977, -54.037945",
MH_6,2,24h,5/19/2024 7:15:00,5/20/2024 6:45:00,23:30:00,,,,,0,,,0,0,0,0,0,0,6,0,0,0,0,0,2,,,~1000,0,0,0,,0,0,0,0,,,,,0,0,,"lots of catch, 100s of NOGA flying above net to go to Ladle Cove - all diving, herring-spawning site: 49.479977, -54.037945",2 HERG floating in the water on top of net
MH_7,1,24h,5/20/2024 6:45:00,5/21/2024 6:45:00,24:00:00,546,99.75,26.85,175.25,0,,,0,0,0,0,0,0,13,0,0,0,0,0,4,,,14,0,0,0,,0,0,0,0,,,,,0,0,0,"Lots of catch, a few herring gulls flying above the net but never touched it. NOGA and CORMO flying nearby",Herring spawning at entrance of harbour yesterday all day and night - turquoise water as evidence + gannets seen diving there all pm on May 20th
MH_7,2,24h,5/20/2024 7:15:00,5/21/2024 7:00:00,23:45:00,,,,,0,,,0,0,0,0,0,0,6,1,0,0,0,0,5,,,5,0,0,0,,0,0,0,0,,,,,0,0,1,"Lots of catch, minke circling the net as we approached to pull. A few gulls circling above but lost interest quickly",Herring in both nets visible from the surface
MH_8,1,12_day,5/21/2024 6:45:00,5/21/2024 18:15:00,11:30:00,0,0,,,0,,,0,0,0,0,0,0,23,0,0,2,0,0,2,,,>1000,0,0,0,,0,0,0,0,,,,,0,0,,Thousands of NOGA diving right in harbour. 100s around the nets resting on the water,Herring spawning at entrance of harbourat the time of net pulling
MH_8,2,12_day,5/21/2024 7:15:00,5/21/2024 18:30:00,11:15:00,,,,,0,,,0,0,0,0,0,0,1,0,0,0,0,0,2,,,>1000,0,0,0,,0,0,0,0,,,,,0,0,,Thousands of NOGA diving right in harbour. 100s around the nets resting on the water,Herring spawning at entrance of harbourat the time of net pulling
MH_9,1,24h,5/21/2024 18:15:00,5/22/2024 17:15:00,23:00:00,478,80.9,26.675,170.5,0,,,0,0,0,0,0,0,13,0,0,0,0,0,3,,,>1000,1,0,0,,0,0,0,0,,,,,0,0,,Thousands of NOGA diving right outside of harbour (~100m from nets). 100s flying over the nets in all direction. HERG taking fish right out of net without difficulty during pull,
MH_9,2,12_night,5/21/2024 18:30:00,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,,,>1000,0,0,0,,0,0,0,0,,,,,0,0,,"Thousands of NOGA diving right outside of harbour (~100m from nets). 100s flying over the nets in all direction. Net not pulled, wind picking up and water ++ rough; herring visible in net from surface",
MH_10,1,24h,5/22/2024 17:15:00,5/23/2024 13:15:00,20:00:00,150,26.29,27.125,175.25,0,,,0,0,0,0,0,0,3,1,0,0,0,0,2,,,>1000,7,0,0,,0,0,0,0,,,,,0,0,,Thousands of NOGA diving right outside of harbour (~100m from nets). 100s flying over the nets in all direction. ,NOGA had been diving in Hr since early morning
MH_10,2,24h,5/21/2024 18:30:00,5/23/2024 13:30:00,43:00:00,288,50.47,,,0,,,0,0,0,0,0,0,52,2,0,0,0,0,2,,,13,0,0,1,,0,1,0,0,,,,,0,0,,"NOGAs dispersed before pulling net, some flew above net. Gulls around the net trying to get fish. ","Net full of herring, some fish getting old and soft"
MH_11,1,12_night,5/23/2024 13:30:00,5/24/2024 5:45:00,16:15:00,1074,187.25,26.85,172.25,0,,,0,0,0,0,0,0,46,2,0,0,0,0,0,,,35,0,0,0,,0,0,0,0,,,,,0,0,,"NOGAs not diving in or around harbour anymore, herring spawning might be over. Only a few NOGAs flying overhead. Lots of gulls trying to get fish out of net during pulling",
MH_11,2,12_night,5/23/2024 14:00:00,5/24/2024 6:45:00,16:45:00,,,,,0,,,0,0,0,0,0,0,54,8,0,2,0,0,0,,,19,0,0,0,,0,0,0,0,,,,,0,0,,"5 NOGAs diving 50m away from net. RBGU sitting on net when we arrived, left when other gulls showed up and returned after pulling was over. GBBG from all ages present",
MH_12,1,12_day,5/24/2024 6:45:00,5/24/2024 18:15:00,11:30:00,0,0,,,0,,,0,0,0,0,0,0,5,0,0,0,0,0,1,,,15,0,0,0,,0,0,0,0,,,,,0,0,,No NOGAs diving anywhere near harbour or nets. Gulls following us between nets,
MH_12,2,12_day,5/24/2024 7:30:00,5/24/2024 18:30:00,11:00:00,,,,,0,,,0,0,0,0,0,0,7,1,0,0,0,0,1,,,2,0,0,0,,0,0,0,0,,,,,0,0,,Gulls followed from previous net but all nets empty,
MH_13,1,12_night,5/24/2024 18:30:00,5/25/2024 6:00:00,11:30:00,1398,234.61,26.625,168.25,0,,,0,0,0,0,0,0,41,2,0,5,0,0,12,,,100s,0,0,0,,0,0,0,0,,,,,0,0,,"100s of NOGAs flying in all directions around net. Not diving near net, all diving in front of Bill's house",
MH_13,2,12_night,5/24/2024 18:45:00,5/25/2024 6:45:00,12:00:00,,,,,0,,,0,0,0,0,0,0,36,3,0,2,0,0,4,,,100s,0,0,0,,0,0,0,0,,,,,0,0,,"100s of NOGAs flying in all directions around net. Not diving near net, all diving in front of Bill's house",
MH_14,1,12_day,5/25/2024 6:45:00,5/25/2024 18:15:00,11:30:00,0,0,,,0,,,0,0,0,0,0,0,33,0,0,2,0,0,8,,,100s,0,0,1,,0,0,0,0,,,,,0,0,,"100s of NOGAs flying in all directions around net, none seen diving",
MH_14,2,12_day,5/25/2024 7:15:00,5/25/2024 18:30:00,11:15:00,,,,,0,,,0,0,0,0,0,0,22,0,0,3,0,0,6,,,100s,0,0,0,,0,0,0,0,,,,,0,0,,"100s of NOGAs flying in all directions around net, none seen diving",
MH_15,1,24h,5/25/2024 18:30:00,5/27/2024 6:15:00,35:45:00,511,88.45,26.75,175.25,1,,,0,0,0,0,0,3,34,5,0,0,0,0,8,,,15,0,0,0,,0,0,0,0,,,,,0,0,,"3 bycaught NOGAs side by side in net, one caught by bill, other 2 caught by wing - net full of herring, soaked for 36hr (2 nights) because very stormy, high wind and swells the previous day. Only a few gannets seen diving 100m away from net ",
MH_15,2,24h,5/25/2024 18:45:00,5/27/2024 7:00:00,36:15:00,,,,,0,,,0,0,0,0,0,0,40,8,0,0,0,0,10,,,100s,0,0,0,,0,0,0,0,,,,,0,0,,"Net full of herring again but no bycatch. 100s of NOGAs now flying above net, only a dozen 100m away diving",
MH_16,1,12_day,5/27/2024 7:00:00,5/27/2024 18:15:00,11:15:00,0,0,,,0,,,0,0,0,0,0,0,27,2,0,2,0,0,5,,,30,0,0,0,,0,0,0,0,,,,,0,0,,About 30 NOGAs diving 100m away from net. No other NOGA around,
BdV_0,1,24h,5/13/2024 6:00 PM,5/15/2024 10:00 AM,40:00:00,300,unknown,unknown,unknown,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
BdV_1,1,24h,5/15/2024 10:00 AM,5/16/2024 6:14 AM,20:14:00,0,0,,,,,,,,,,,,22,3,,2,1,45,,,,,,,,2,1,1,,,,,,,,,,"Birds on the water >50m. Slob on net, no catch",Net set very close to shoreline
BdV_2,1,24h,5/16/2024 6:21 AM,5/17/2024 7:06 AM,24:45:00,52,unknown,30.3,275,,,,,,,,,,76,1,,,2,6,,,,1,,,,,,1,,,50,,,,,,,Eiders were a flyby estimate,"Many gulls (200+) on the jetty at the plant, not counted due to distance and visibility (fog too  thick to see, but there were more BLKI, ICGUs, and 2 LBBGs on the jetty when we were returning to dock)."
BdV_3,1,24h,5/17/2024 7:21 AM,5/18/2024 7:02:00,23:41:00,64,unknown,30.2375,284.5,,,,,,,,,,40,3,,,,6,,,,1,,,1,,,,,,55,,,,,,,"More than 200m: the jetty gulls, 20+ BLKI, 6+ BLGUs",2 DCCO upon returning to the harbour
BdV_4,1,24h,5/18/2024 7:16:00,5/19/2024 6:18:00,23:02:00,207,unknown,30.8125,297.75,,,,,,,,,,53,2,,,2,,,,,1,,,1,,,,,,,,1,,,,,"Many gulls (200+) on the jetty at the plant, not counted due to distance",
BdV_5,1,12_day,5/19/2024 6:18:00,5/19/2024 15:34:00,9:16:00,1,0.22,28,220,,,,,,,,,,27,1,,1,,3,,4,,,,,1,,,,,,,,1,,,,,"Many gulls (200+) on the outflow at the plant, not counted due to distance",
BdV_6,1,12_night,5/19/2024 15:34:00,5/20/2024 7:11:00,15:37:00,91,unknown,29.375,235.75,,1,,,,,,,,20,3,,,1,,,,,2,,,,,,,,,,,,1,,,,AMPI flew directly overhead as we were pulling the net,"no gulls on the jetty, most were on the coastline (45HERG, 1GBBG, 1RBGU, 2 ICGU)  or at what looked like a spot of herring spawning activity"
BdV_7,1,12_day,5/20/2024 7:22:00,5/20/2024 16:13,8:51:00,0,0,,,,,,,,,,,,5(+19),1,,,,2,,,,1,,,7,,,,,,,,1,,,,,,
BdV_8,1,12_night,5/20/2024 16:18:00,5/21/2024 6:09:00,13:51:00,400,unknown,30.875,285.25,,,,,,,,,,29,2,,,1,10,,,,5,13,1,5,,16,,,,11,,,,,,,<200m visibility,2 herring fell from the net into the water and it brought in a bunch of gulls fighting fo r it. about 60
BdV_8,2,12_night,5/20/2024 16:00:00,5/21/2024 7:08:00,15:08:00,93,unknown,30.65,303.5,,,,,,,,,,27,1,,,,4,,,,6,5,,3,,12,,,,,1,,,,,,<200m visibility,
BdV_9,1,12_day,5/21/2024 6:09:00,5/21/2024 16:26:00,10:17:00,6,1.505,29.33,250.833,,,,,,,,,,12,2,,,,,,,,,,,1,,,,,,,,,,,,,,
BdV_9,2,12_day,5/21/2024 7:08:00,5/21/2024 16:10:00,9:02:00,100,unknown,30.575,278,,,,,,,,,,160,8,1,,,104,,1,,2,,,1,,,2,,,,,,,,,,,
BdV_10,1,24h,5/21/2024 16:26:00,5/23/2024 10:30:00,42:04:00,120,unknown,31.6,294.5,,1,,,,,,,,40,6,1,,,4,,1,,2,,,,,,,,,,,,1,,,,gulls voraciously and brazenly picking herring from the net as it was being hauled.,
BdV_10,2,24h,5/21/2024 16:10:00,5/23/2024 10:08:00,41:58:00,250,unknown,31.275,269.75,1,,,,,,,,,200?,7,,,1,23,,,,,,,4,,,,,,,,1,,,,,gulls voraciously and brazenly picking herring from the net as it was being hauled.,
BdV_11,1,24h,5/23/2024 10:59:00,5/24/2024 6:27:00,19:28:00,500,unknown,30.321,276.19,,,,,,,,,,37,5,,,,16,,,,27,,,1,,,1,,,5,,,,,,,,
BdV_11,2,24h,5/23/2024 10:26:00,5/24/2024 6:13:00,19:47:00,34,unknown,,,,,,,,,,,,40,,,,,7,,,,27,,,6,,,,,,,,,,,,,,
BdV_12,1,12_day,5/24/2024 7:19:00,5/24/2024 14:41:00,7:22:00,1,0.22,29,220,,,,,,,,,,6,2,,,,2,,4,,1,,,1,,,1,,,,,,1,,,,,
BdV_12,2,12_day,5/24/2024 6:24:00,5/24/2024 14:27:00,8:03:00,0,0,,,,,,,,,,,,120,1,1,,,47,,,,1,,,1,,,,,,,,,,,,,,
BdV_13,1,12_night,5/24/2024 14:41:00,5/25/2024 6:19,15:38:00,144,unknown,28.8375,233.5,,,,,,,,,,22,1,,,,5,,,,16,,,2,,,,,,,,,,,,,,
BdV_13,2,12_night,5/24/2024 14:31:00,5/25/2024 6:10,15:39:00,15,3.805,29.466,253.66,,,,,,,,,,12,1,,,,6,,7,,4,,,,,,,,,,,,,,,,,
BdV_14,1,24h,5/25/2024 6:35:00,5/27/2024 6:38:00,48:03:00,400,unknown,28.025,209.5,,2,,,,,,,,53,5,,,,,,3,,2,,,,,,1,,,,,2,,,,,lots of comb jellies in each net,"COD: 81cm, 64cm"
BdV_14,2,24h,5/25/2024 6:16:00,5/27/2024 6:18:00,48:02:00,100,unknown,31.4,276.5,1,,1,,,,,,,82,2,,,,1,,1,,3,,,,,,,,,,,,,,,,lots of comb jellies in each net,
BdV_15,1,12_day,5/27/2024 7:17:00,5/27/2024 16:15:00,8:58:00,0,0,,,,,,,,,,,,28,1,,,,6,,,,,,,3,,,,,,,,,,,,,,
BdV_15,2,12_day,5/27/2024 6:33:00,5/27/2024 16:05:00,9:32:00,0,0,,,,,,,,,,,,300,8,,2,,160,,5,,3,,,,,,,,,,,,,,,,,
BdV_16,1,24h,5/27/2024 16:21:00,5/28/2024 11:00:00,18:39:00,50,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BdV_16,2,24h,5/27/2024 16:11:00,5/28/2024 11:00:00,18:49:00,50,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,